index,biome,split
0001,plain,train
0002,plain,test
0003,plain,train
0004,plain,train
0005,plain,train
0006,plain,val
0007,plain,val
0008,plain,test
0009,plain,val
0010,plain,train
0011,plain,train
0012,plain,train
0013,plain,train
0014,plain,train
0015,plain,val
0016,plain,test
0017,plain,train
0018,plain,test
0019,plain,train
0020,plain,train
0021,plain,train
0022,plain,train
0023,plain,train
0024,plain,train
0025,plain,train
0026,plain,train
0027,plain,train
0028,plain,train
0029,plain,train
0030,plain,train
0031,plain,train
0032,plain,train
0033,plain,train
0034,plain,train
0035,plain,train
0036,plain,train
0037,plain,train
0038,plain,train
0039,plain,train
0040,plain,train
0041,snow plain,train
0042,snow plain,train
0043,snow plain,test
0044,snow plain,train
0045,snow plain,train
0046,snow plain,train
0047,snow plain,train
0048,snow plain,val
0049,snow plain,train
0050,snow plain,train
0051,snow plain,train
0052,snow plain,train
0053,snow plain,train
0054,snow plain,train
0055,snow plain,train
0056,snow plain,train
0057,snow plain,test
0058,snow plain,train
0059,snow plain,train
0060,snow plain,train
0061,snow plain,train
0062,snow plain,train
0063,snow plain,test
0064,snow plain,train
0065,snow plain,val
0066,snow plain,train
0067,snow plain,train
0068,snow plain,train
0069,snow plain,train
0070,snow plain,val
0071,snow plain,train
0072,snow plain,train
0073,snow plain,train
0074,snow plain,train
0075,snow plain,val
0076,snow plain,train
0077,snow plain,train
0078,snow plain,train
0079,snow plain,train
0080,snow plain,test
0081,mushroom fields,train
0082,mushroom fields,train
0083,mushroom fields,train
0084,mushroom fields,train
0085,mushroom fields,train
0086,mushroom fields,train
0087,mushroom fields,train
0088,mushroom fields,train
0089,mushroom fields,train
0090,mushroom fields,train
0091,mushroom fields,test
0092,mushroom fields,train
0093,mushroom fields,train
0094,mushroom fields,train
0095,mushroom fields,val
0096,mushroom fields,test
0097,mushroom fields,train
0098,mushroom fields,val
0099,mushroom fields,train
0100,mushroom fields,train
0101,mushroom fields,val
0102,mushroom fields,train
0103,mushroom fields,train
0104,mushroom fields,train
0105,mushroom fields,val
0106,mushroom fields,train
0107,mushroom fields,train
0108,mushroom fields,train
0109,mushroom fields,train
0110,mushroom fields,test
0111,mushroom fields,train
0112,mushroom fields,train
0113,mushroom fields,train
0114,mushroom fields,train
0115,mushroom fields,test
0116,mushroom fields,train
0117,mushroom fields,train
0118,mushroom fields,train
0119,mushroom fields,train
0120,mushroom fields,train
0121,savanna,train
0122,savanna,train
0123,savanna,train
0124,savanna,test
0125,savanna,val
0126,savanna,test
0127,savanna,train
0128,savanna,test
0129,savanna,train
0130,savanna,test
0131,savanna,val
0132,savanna,train
0133,savanna,train
0134,savanna,train
0135,savanna,train
0136,savanna,train
0137,savanna,train
0138,savanna,train
0139,savanna,train
0140,savanna,train
0141,savanna,train
0142,savanna,train
0143,savanna,train
0144,savanna,train
0145,savanna,val
0146,savanna,train
0147,savanna,train
0148,savanna,val
0149,savanna,train
0150,savanna,train
0151,savanna,train
0152,savanna,train
0153,savanna,train
0154,savanna,train
0155,savanna,train
0156,savanna,train
0157,savanna,train
0158,savanna,train
0159,savanna,train
0160,savanna,train
0161,ice spikes,test
0162,ice spikes,val
0163,ice spikes,train
0164,ice spikes,train
0165,ice spikes,train
0166,ice spikes,train
0167,ice spikes,train
0168,ice spikes,val
0169,ice spikes,train
0170,ice spikes,train
0171,ice spikes,test
0172,ice spikes,train
0173,ice spikes,train
0174,ice spikes,train
0175,ice spikes,train
0176,ice spikes,train
0177,ice spikes,train
0178,ice spikes,train
0179,ice spikes,train
0180,ice spikes,train
0181,ice spikes,val
0182,ice spikes,train
0183,ice spikes,train
0184,ice spikes,train
0185,ice spikes,train
0186,ice spikes,train
0187,ice spikes,train
0188,ice spikes,train
0189,ice spikes,train
0190,ice spikes,train
0191,ice spikes,train
0192,ice spikes,val
0193,ice spikes,train
0194,ice spikes,test
0195,ice spikes,test
0196,ice spikes,train
0197,ice spikes,train
0198,ice spikes,train
0199,ice spikes,train
0200,ice spikes,train
0201,forest,train
0202,forest,val
0203,forest,train
0204,forest,train
0205,forest,test
0206,forest,train
0207,forest,train
0208,forest,test
0209,forest,train
0210,forest,train
0211,forest,train
0212,forest,train
0213,forest,train
0214,forest,train
0215,forest,test
0216,forest,test
0217,forest,train
0218,forest,train
0219,forest,train
0220,forest,train
0221,forest,train
0222,forest,val
0223,forest,train
0224,forest,train
0225,forest,train
0226,forest,train
0227,forest,train
0228,forest,train
0229,forest,train
0230,forest,train
0231,forest,train
0232,forest,train
0233,forest,train
0234,forest,val
0235,forest,train
0236,forest,train
0237,forest,train
0238,forest,val
0239,forest,train
0240,forest,train
0241,taiga,train
0242,taiga,train
0243,taiga,train
0244,taiga,test
0245,taiga,train
0246,taiga,train
0247,taiga,test
0248,taiga,train
0249,taiga,train
0250,taiga,train
0251,taiga,train
0252,taiga,train
0253,taiga,val
0254,taiga,train
0255,taiga,train
0256,taiga,val
0257,taiga,train
0258,taiga,train
0259,taiga,train
0260,taiga,train
0261,taiga,train
0262,taiga,test
0263,taiga,train
0264,taiga,train
0265,taiga,train
0266,taiga,test
0267,taiga,train
0268,taiga,train
0269,taiga,train
0270,taiga,train
0271,taiga,train
0272,taiga,train
0273,taiga,train
0274,taiga,val
0275,taiga,train
0276,taiga,train
0277,taiga,train
0278,taiga,train
0279,taiga,train
0280,taiga,val
0281,jungle,train
0282,jungle,train
0283,jungle,train
0284,jungle,val
0285,jungle,train
0286,jungle,train
0287,jungle,train
0288,jungle,train
0289,jungle,train
0290,jungle,test
0291,jungle,train
0292,jungle,train
0293,jungle,test
0294,jungle,val
0295,jungle,train
0296,jungle,train
0297,jungle,train
0298,jungle,train
0299,jungle,val
0300,jungle,train
0301,jungle,train
0302,jungle,train
0303,jungle,train
0304,jungle,train
0305,jungle,train
0306,jungle,train
0307,jungle,train
0308,jungle,train
0309,jungle,train
0310,jungle,train
0311,jungle,train
0312,jungle,test
0313,jungle,train
0314,jungle,val
0315,jungle,train
0316,jungle,test
0317,jungle,train
0318,jungle,train
0319,jungle,train
0320,jungle,train
0321,sparse jungle,train
0322,sparse jungle,train
0323,sparse jungle,train
0324,sparse jungle,train
0325,sparse jungle,train
0326,sparse jungle,train
0327,sparse jungle,train
0328,sparse jungle,train
0329,sparse jungle,val
0330,sparse jungle,train
0331,sparse jungle,train
0332,sparse jungle,train
0333,sparse jungle,train
0334,sparse jungle,train
0335,sparse jungle,train
0336,sparse jungle,test
0337,sparse jungle,test
0338,sparse jungle,train
0339,sparse jungle,train
0340,sparse jungle,val
0341,sparse jungle,test
0342,sparse jungle,train
0343,sparse jungle,train
0344,sparse jungle,train
0345,sparse jungle,train
0346,sparse jungle,test
0347,sparse jungle,train
0348,sparse jungle,train
0349,sparse jungle,train
0350,sparse jungle,val
0351,sparse jungle,train
0352,sparse jungle,train
0353,sparse jungle,train
0354,sparse jungle,train
0355,sparse jungle,train
0356,sparse jungle,train
0357,sparse jungle,train
0358,sparse jungle,train
0359,sparse jungle,train
0360,sparse jungle,val
0361,Birch Forest,train
0362,Birch Forest,train
0363,Birch Forest,train
0364,Birch Forest,train
0365,Birch Forest,train
0366,Birch Forest,train
0367,Birch Forest,test
0368,Birch Forest,test
0369,Birch Forest,train
0370,Birch Forest,test
0371,Birch Forest,train
0372,Birch Forest,train
0373,Birch Forest,train
0374,Birch Forest,val
0375,Birch Forest,train
0376,Birch Forest,train
0377,Birch Forest,train
0378,Birch Forest,val
0379,Birch Forest,val
0380,Birch Forest,train
0381,Birch Forest,train
0382,Birch Forest,val
0383,Birch Forest,train
0384,Birch Forest,train
0385,Birch Forest,train
0386,Birch Forest,train
0387,Birch Forest,train
0388,Birch Forest,train
0389,Birch Forest,train
0390,Birch Forest,train
0391,Birch Forest,train
0392,Birch Forest,train
0393,Birch Forest,train
0394,Birch Forest,train
0395,Birch Forest,train
0396,Birch Forest,test
0397,Birch Forest,train
0398,Birch Forest,train
0399,Birch Forest,train
0400,Birch Forest,train
0401,Dark Forest,train
0402,Dark Forest,train
0403,Dark Forest,test
0404,Dark Forest,train
0405,Dark Forest,train
0406,Dark Forest,train
0407,Dark Forest,train
0408,Dark Forest,train
0409,Dark Forest,test
0410,Dark Forest,train
0411,Dark Forest,train
0412,Dark Forest,train
0413,Dark Forest,train
0414,Dark Forest,val
0415,Dark Forest,train
0416,Dark Forest,train
0417,Dark Forest,train
0418,Dark Forest,train
0419,Dark Forest,train
0420,Dark Forest,test
0421,Dark Forest,train
0422,Dark Forest,train
0423,Dark Forest,val
0424,Dark Forest,val
0425,Dark Forest,train
0426,Dark Forest,train
0427,Dark Forest,train
0428,Dark Forest,test
0429,Dark Forest,train
0430,Dark Forest,train
0431,Dark Forest,train
0432,Dark Forest,train
0433,Dark Forest,train
0434,Dark Forest,train
0435,Dark Forest,train
0436,Dark Forest,train
0437,Dark Forest,train
0438,Dark Forest,val
0439,Dark Forest,train
0440,Dark Forest,train
0441,Snowy Taiga,train
0442,Snowy Taiga,val
0443,Snowy Taiga,train
0444,Snowy Taiga,train
0445,Snowy Taiga,train
0446,Snowy Taiga,train
0447,Snowy Taiga,train
0448,Snowy Taiga,train
0449,Snowy Taiga,train
0450,Snowy Taiga,train
0451,Snowy Taiga,train
0452,Snowy Taiga,train
0453,Snowy Taiga,val
0454,Snowy Taiga,train
0455,Snowy Taiga,test
0456,Snowy Taiga,train
0457,Snowy Taiga,train
0458,Snowy Taiga,train
0459,Snowy Taiga,train
0460,Snowy Taiga,test
0461,Snowy Taiga,train
0462,Snowy Taiga,val
0463,Snowy Taiga,test
0464,Snowy Taiga,train
0465,Snowy Taiga,train
0466,Snowy Taiga,val
0467,Snowy Taiga,train
0468,Snowy Taiga,train
0469,Snowy Taiga,train
0470,Snowy Taiga,train
0471,Snowy Taiga,train
0472,Snowy Taiga,train
0473,Snowy Taiga,train
0474,Snowy Taiga,train
0475,Snowy Taiga,train
0476,Snowy Taiga,train
0477,Snowy Taiga,train
0478,Snowy Taiga,test
0479,Snowy Taiga,train
0480,Snowy Taiga,train
0481,Old Growth Birch Forest,test
0482,Old Growth Birch Forest,train
0483,Old Growth Birch Forest,train
0484,Old Growth Birch Forest,train
0485,Old Growth Birch Forest,val
0486,Old Growth Birch Forest,train
0487,Old Growth Birch Forest,train
0488,Old Growth Birch Forest,train
0489,Old Growth Birch Forest,train
0490,Old Growth Birch Forest,train
0491,Old Growth Birch Forest,train
0492,Old Growth Birch Forest,train
0493,Old Growth Birch Forest,test
0494,Old Growth Birch Forest,train
0495,Old Growth Birch Forest,train
0496,Old Growth Birch Forest,train
0497,Old Growth Birch Forest,train
0498,Old Growth Birch Forest,train
0499,Old Growth Birch Forest,train
0500,Old Growth Birch Forest,train
0501,Old Growth Birch Forest,train
0502,Old Growth Birch Forest,val
0503,Old Growth Birch Forest,train
0504,Old Growth Birch Forest,val
0505,Old Growth Birch Forest,train
0506,Old Growth Birch Forest,train
0507,Old Growth Birch Forest,train
0508,Old Growth Birch Forest,val
0509,Old Growth Birch Forest,train
0510,Old Growth Birch Forest,train
0511,Old Growth Birch Forest,train
0512,Old Growth Birch Forest,train
0513,Old Growth Birch Forest,train
0514,Old Growth Birch Forest,test
0515,Old Growth Birch Forest,test
0516,Old Growth Birch Forest,train
0517,Old Growth Birch Forest,train
0518,Old Growth Birch Forest,train
0519,Old Growth Birch Forest,train
0520,Old Growth Birch Forest,train
0521,Old Growth Pine Taiga,train
0522,Old Growth Pine Taiga,train
0523,Old Growth Pine Taiga,train
0524,Old Growth Pine Taiga,train
0525,Old Growth Pine Taiga,train
0526,Old Growth Pine Taiga,train
0527,Old Growth Pine Taiga,train
0528,Old Growth Pine Taiga,train
0529,Old Growth Pine Taiga,train
0530,Old Growth Pine Taiga,train
0531,Old Growth Pine Taiga,train
0532,Old Growth Pine Taiga,train
0533,Old Growth Pine Taiga,train
0534,Old Growth Pine Taiga,val
0535,Old Growth Pine Taiga,train
0536,Old Growth Pine Taiga,train
0537,Old Growth Pine Taiga,train
0538,Old Growth Pine Taiga,train
0539,Old Growth Pine Taiga,train
0540,Old Growth Pine Taiga,train
0541,Old Growth Pine Taiga,test
0542,Old Growth Pine Taiga,train
0543,Old Growth Pine Taiga,train
0544,Old Growth Pine Taiga,train
0545,Old Growth Pine Taiga,train
0546,Old Growth Pine Taiga,train
0547,Old Growth Pine Taiga,train
0548,Old Growth Pine Taiga,train
0549,Old Growth Pine Taiga,val
0550,Old Growth Pine Taiga,test
0551,Old Growth Pine Taiga,train
0552,Old Growth Pine Taiga,train
0553,Old Growth Pine Taiga,val
0554,Old Growth Pine Taiga,train
0555,Old Growth Pine Taiga,train
0556,Old Growth Pine Taiga,val
0557,Old Growth Pine Taiga,train
0558,Old Growth Pine Taiga,test
0559,Old Growth Pine Taiga,test
0560,Old Growth Pine Taiga,train
0561,Old Growth Spruce Taiga,val
0562,Old Growth Spruce Taiga,train
0563,Old Growth Spruce Taiga,train
0564,Old Growth Spruce Taiga,train
0565,Old Growth Spruce Taiga,train
0566,Old Growth Spruce Taiga,train
0567,Old Growth Spruce Taiga,val
0568,Old Growth Spruce Taiga,train
0569,Old Growth Spruce Taiga,train
0570,Old Growth Spruce Taiga,val
0571,Old Growth Spruce Taiga,train
0572,Old Growth Spruce Taiga,train
0573,Old Growth Spruce Taiga,train
0574,Old Growth Spruce Taiga,train
0575,Old Growth Spruce Taiga,train
0576,Old Growth Spruce Taiga,test
0577,Old Growth Spruce Taiga,train
0578,Old Growth Spruce Taiga,train
0579,Old Growth Spruce Taiga,train
0580,Old Growth Spruce Taiga,train
0581,Old Growth Spruce Taiga,train
0582,Old Growth Spruce Taiga,train
0583,Old Growth Spruce Taiga,train
0584,Old Growth Spruce Taiga,train
0585,Old Growth Spruce Taiga,test
0586,Old Growth Spruce Taiga,test
0587,Old Growth Spruce Taiga,train
0588,Old Growth Spruce Taiga,val
0589,Old Growth Spruce Taiga,train
0590,Old Growth Spruce Taiga,train
0591,Old Growth Spruce Taiga,train
0592,Old Growth Spruce Taiga,test
0593,Old Growth Spruce Taiga,train
0594,Old Growth Spruce Taiga,train
0595,Old Growth Spruce Taiga,train
0596,Old Growth Spruce Taiga,train
0597,Old Growth Spruce Taiga,train
0598,Old Growth Spruce Taiga,train
0599,Old Growth Spruce Taiga,train
0600,Old Growth Spruce Taiga,train
0601,Bamboo Jungle,train
0602,Bamboo Jungle,train
0603,Bamboo Jungle,train
0604,Bamboo Jungle,train
0605,Bamboo Jungle,val
0606,Bamboo Jungle,train
0607,Bamboo Jungle,train
0608,Bamboo Jungle,train
0609,Bamboo Jungle,train
0610,Bamboo Jungle,train
0611,Bamboo Jungle,train
0612,Bamboo Jungle,train
0613,Bamboo Jungle,train
0614,Bamboo Jungle,train
0615,Bamboo Jungle,train
0616,Bamboo Jungle,test
0617,Bamboo Jungle,train
0618,Bamboo Jungle,test
0619,Bamboo Jungle,val
0620,Bamboo Jungle,train
0621,Bamboo Jungle,train
0622,Bamboo Jungle,train
0623,Bamboo Jungle,train
0624,Bamboo Jungle,train
0625,Bamboo Jungle,train
0626,Bamboo Jungle,train
0627,Bamboo Jungle,train
0628,Bamboo Jungle,train
0629,Bamboo Jungle,val
0630,Bamboo Jungle,train
0631,Bamboo Jungle,train
0632,Bamboo Jungle,test
0633,Bamboo Jungle,train
0634,Bamboo Jungle,test
0635,Bamboo Jungle,train
0636,Bamboo Jungle,train
0637,Bamboo Jungle,train
0638,Bamboo Jungle,val
0639,Bamboo Jungle,train
0640,Bamboo Jungle,train
0641,Grove,train
0642,Grove,train
0643,Grove,train
0644,Grove,train
0645,Grove,train
0646,Grove,train
0647,Grove,train
0648,Grove,train
0649,Grove,train
0650,Grove,train
0651,Grove,train
0652,Grove,train
0653,Grove,train
0654,Grove,train
0655,Grove,test
0656,Grove,train
0657,Grove,train
0658,Grove,val
0659,Grove,train
0660,Grove,train
0661,Grove,train
0662,Grove,train
0663,Grove,train
0664,Grove,train
0665,Grove,train
0666,Grove,train
0667,Grove,train
0668,Grove,val
0669,Grove,train
0670,Grove,train
0671,Grove,train
0672,Grove,test
0673,Grove,train
0674,Grove,train
0675,Grove,test
0676,Grove,train
0677,Grove,val
0678,Grove,val
0679,Grove,train
0680,Grove,test
0681,Cherry Grove,train
0682,Cherry Grove,val
0683,Cherry Grove,train
0684,Cherry Grove,val
0685,Cherry Grove,train
0686,Cherry Grove,test
0687,Cherry Grove,train
0688,Cherry Grove,train
0689,Cherry Grove,train
0690,Cherry Grove,train
0691,Cherry Grove,train
0692,Cherry Grove,train
0693,Cherry Grove,train
0694,Cherry Grove,train
0695,Cherry Grove,train
0696,Cherry Grove,train
0697,Cherry Grove,test
0698,Cherry Grove,test
0699,Cherry Grove,train
0700,Cherry Grove,train
0701,Cherry Grove,train
0702,Cherry Grove,train
0703,Cherry Grove,val
0704,Cherry Grove,train
0705,Cherry Grove,train
0706,Cherry Grove,train
0707,Cherry Grove,test
0708,Cherry Grove,train
0709,Cherry Grove,train
0710,Cherry Grove,train
0711,Cherry Grove,val
0712,Cherry Grove,train
0713,Cherry Grove,train
0714,Cherry Grove,train
0715,Cherry Grove,train
0716,Cherry Grove,train
0717,Cherry Grove,train
0718,Cherry Grove,train
0719,Cherry Grove,train
0720,Cherry Grove,train
0721,Windswept Hills,train
0722,Windswept Hills,train
0723,Windswept Hills,train
0724,Windswept Hills,train
0725,Windswept Hills,val
0726,Windswept Hills,train
0727,Windswept Hills,val
0728,Windswept Hills,train
0729,Windswept Hills,train
0730,Windswept Hills,train
0731,Windswept Hills,train
0732,Windswept Hills,train
0733,Windswept Hills,val
0734,Windswept Hills,train
0735,Windswept Hills,train
0736,Windswept Hills,val
0737,Windswept Hills,train
0738,Windswept Hills,train
0739,Windswept Hills,train
0740,Windswept Hills,test
0741,Windswept Hills,train
0742,Windswept Hills,train
0743,Windswept Hills,train
0744,Windswept Hills,train
0745,Windswept Hills,test
0746,Windswept Hills,test
0747,Windswept Hills,train
0748,Windswept Hills,train
0749,Windswept Hills,train
0750,Windswept Hills,train
0751,Windswept Hills,train
0752,Windswept Hills,train
0753,Windswept Hills,train
0754,Windswept Hills,train
0755,Windswept Hills,train
0756,Windswept Hills,train
0757,Windswept Hills,test
0758,Windswept Hills,train
0759,Windswept Hills,train
0760,Windswept Hills,train
0761,Windswept Forest,train
0762,Windswept Forest,train
0763,Windswept Forest,train
0764,Windswept Forest,train
0765,Windswept Forest,train
0766,Windswept Forest,val
0767,Windswept Forest,train
0768,Windswept Forest,train
0769,Windswept Forest,train
0770,Windswept Forest,train
0771,Windswept Forest,train
0772,Windswept Forest,train
0773,Windswept Forest,train
0774,Windswept Forest,train
0775,Windswept Forest,train
0776,Windswept Forest,val
0777,Windswept Forest,train
0778,Windswept Forest,test
0779,Windswept Forest,train
0780,Windswept Forest,train
0781,Windswept Forest,val
0782,Windswept Forest,train
0783,Windswept Forest,train
0784,Windswept Forest,train
0785,Windswept Forest,train
0786,Windswept Forest,train
0787,Windswept Forest,train
0788,Windswept Forest,test
0789,Windswept Forest,train
0790,Windswept Forest,test
0791,Windswept Forest,train
0792,Windswept Forest,train
0793,Windswept Forest,train
0794,Windswept Forest,train
0795,Windswept Forest,train
0796,Windswept Forest,train
0797,Windswept Forest,val
0798,Windswept Forest,test
0799,Windswept Forest,train
0800,Windswept Forest,train
0801,Stony Shore,train
0802,Stony Shore,test
0803,Stony Shore,train
0804,Stony Shore,train
0805,Stony Shore,train
0806,Stony Shore,val
0807,Stony Shore,train
0808,Stony Shore,train
0809,Stony Shore,train
0810,Stony Shore,train
0811,Stony Shore,train
0812,Stony Shore,train
0813,Stony Shore,train
0814,Stony Shore,train
0815,Stony Shore,val
0816,Stony Shore,train
0817,Stony Shore,train
0818,Stony Shore,train
0819,Stony Shore,val
0820,Stony Shore,train
0821,Stony Shore,train
0822,Stony Shore,train
0823,Stony Shore,train
0824,Stony Shore,train
0825,Stony Shore,train
0826,Stony Shore,val
0827,Stony Shore,train
0828,Stony Shore,train
0829,Stony Shore,test
0830,Stony Shore,train
0831,Stony Shore,test
0832,Stony Shore,test
0833,Stony Shore,train
0834,Stony Shore,train
0835,Stony Shore,train
0836,Stony Shore,train
0837,Stony Shore,train
0838,Stony Shore,train
0839,Stony Shore,train
0840,Stony Shore,train
0841,Savanna Plateau,val
0842,Savanna Plateau,train
0843,Savanna Plateau,train
0844,Savanna Plateau,train
0845,Savanna Plateau,train
0846,Savanna Plateau,train
0847,Savanna Plateau,test
0848,Savanna Plateau,train
0849,Savanna Plateau,train
0850,Savanna Plateau,train
0851,Savanna Plateau,train
0852,Savanna Plateau,val
0853,Savanna Plateau,test
0854,Savanna Plateau,train
0855,Savanna Plateau,test
0856,Savanna Plateau,train
0857,Savanna Plateau,train
0858,Savanna Plateau,train
0859,Savanna Plateau,test
0860,Savanna Plateau,val
0861,Savanna Plateau,train
0862,Savanna Plateau,train
0863,Savanna Plateau,train
0864,Savanna Plateau,val
0865,Savanna Plateau,train
0866,Savanna Plateau,train
0867,Savanna Plateau,train
0868,Savanna Plateau,train
0869,Savanna Plateau,train
0870,Savanna Plateau,train
0871,Savanna Plateau,train
0872,Savanna Plateau,train
0873,Savanna Plateau,train
0874,Savanna Plateau,train
0875,Savanna Plateau,train
0876,Savanna Plateau,train
0877,Savanna Plateau,train
0878,Savanna Plateau,train
0879,Savanna Plateau,train
0880,Savanna Plateau,train
0881,Windswept Gravelly Hills,train
0882,Windswept Gravelly Hills,train
0883,Windswept Gravelly Hills,train
0884,Windswept Gravelly Hills,train
0885,Windswept Gravelly Hills,train
0886,Windswept Gravelly Hills,test
0887,Windswept Gravelly Hills,train
0888,Windswept Gravelly Hills,val
0889,Windswept Gravelly Hills,train
0890,Windswept Gravelly Hills,train
0891,Windswept Gravelly Hills,train
0892,Windswept Gravelly Hills,train
0893,Windswept Gravelly Hills,train
0894,Windswept Gravelly Hills,train
